ceres,100000,01,2.295,5.939,,
ceres,100000,02,2.309,5.941,,
ceres,100000,03,2.449,6.290,,
ceres,100000,04,2.335,5.929,,
ceres,100000,05,2.295,5.926,,
ceres,100000,06,2.291,5.983,,
ceres,100000,07,2.295,5.942,,
ceres,100000,08,2.296,6.006,,
ceres,100000,09,2.294,5.997,,
ceres,10000,01,0.132,0.456,,
ceres,100000,10,2.302,5.959,,
ceres,100000,11,2.299,6.001,,
ceres,100000,12,2.300,5.935,,
ceres,100000,13,2.296,6.001,,
ceres,100000,14,2.300,5.922,,
ceres,100000,15,2.294,5.996,,
ceres,100000,16,2.296,5.935,,
ceres,100000,17,2.294,5.928,,
ceres,100000,18,2.320,5.953,,
ceres,100000,19,2.296,6.011,,
ceres,10000,02,0.132,0.456,,
ceres,100000,20,2.296,5.936,,
ceres,100000,21,2.301,5.959,,
ceres,100000,22,2.295,5.999,,
ceres,100000,23,2.296,5.995,,
ceres,100000,24,2.319,5.948,,
ceres,100000,25,2.297,5.936,,
ceres,100000,26,2.295,5.931,,
ceres,100000,27,2.301,5.944,,
ceres,100000,28,2.297,5.918,,
ceres,100000,29,2.293,5.928,,
ceres,10000,03,0.132,0.462,,
ceres,100000,30,2.295,5.999,,
ceres,100000,31,2.296,5.909,,
ceres,100000,32,2.294,5.939,,
ceres,100000,33,2.294,5.996,,
ceres,100000,34,2.295,5.933,,
ceres,100000,35,2.299,6.017,,
ceres,100000,36,2.297,5.939,,
ceres,100000,37,2.295,5.996,,
ceres,100000,38,2.296,5.944,,
ceres,100000,39,2.296,5.935,,
ceres,10000,04,0.132,0.456,,
ceres,100000,40,2.304,5.931,,
ceres,100000,41,2.294,5.990,,
ceres,100000,42,2.294,5.938,,
ceres,100000,43,2.295,5.908,,
ceres,100000,44,2.296,5.934,,
ceres,100000,45,2.293,5.994,,
ceres,100000,46,2.296,5.929,,
ceres,100000,47,2.295,5.934,,
ceres,100000,48,2.298,5.946,,
ceres,10000,05,0.132,0.459,,
ceres,10000,06,0.132,0.457,,
ceres,10000,07,0.133,0.459,,
ceres,10000,08,0.132,0.457,,
ceres,10000,09,0.132,0.456,,
ceres,10000,10,0.132,0.481,,
ceres,10000,11,0.132,0.462,,
ceres,10000,12,0.132,0.456,,
ceres,10000,13,0.132,0.463,,
ceres,10000,14,0.132,0.459,,
ceres,10000,15,0.132,0.462,,
ceres,10000,16,0.132,0.456,,
ceres,10000,17,0.132,0.457,,
ceres,10000,18,0.132,0.462,,
ceres,10000,19,0.132,0.462,,
ceres,10000,20,0.133,0.457,,
ceres,10000,21,0.132,0.457,,
ceres,10000,22,0.132,0.462,,
ceres,10000,23,0.132,0.457,,
ceres,10000,24,0.132,0.457,,
ceres,10000,25,0.132,0.456,,
ceres,10000,26,0.132,0.457,,
ceres,10000,27,0.132,0.457,,
ceres,10000,28,0.132,0.457,,
ceres,10000,29,0.132,0.462,,
ceres,10000,30,0.132,0.463,,
ceres,10000,31,0.132,0.457,,
ceres,10000,32,0.132,0.457,,
ceres,10000,33,0.132,0.463,,
ceres,10000,34,0.132,0.457,,
ceres,10000,35,0.132,0.458,,
ceres,10000,36,0.132,0.463,,
ceres,10000,37,0.132,0.457,,
ceres,10000,38,0.132,0.458,,
ceres,10000,39,0.132,0.462,,
ceres,10000,40,0.133,0.458,,
ceres,10000,41,0.132,0.458,,
ceres,10000,42,0.133,0.478,,
ceres,10000,43,0.132,0.457,,
ceres,10000,44,0.132,0.456,,
ceres,10000,45,0.132,0.458,,
ceres,10000,46,0.132,0.458,,
ceres,10000,47,0.132,0.458,,
ceres,10000,48,0.132,0.462,,
ceres,10000,49,0.136,0.476,,
ceres,110000,01,3.032,7.484,,
ceres,110000,02,3.029,7.409,,
